iter	Passed	Remaining
976	21620	66895
977	21635	66852
978	21652	66814
979	21670	66781
980	21688	66746
981	21705	66707
982	21723	66674
983	21740	66636
984	21759	66604
985	21778	66571
986	21795	66534
987	21813	66499
988	21830	66462
989	21850	66435
990	21873	66415
991	21895	66394
992	21921	66381
993	21947	66372
994	21975	66368
995	22002	66359
996	22025	66341
997	22052	66333
998	22083	66339
999	22109	66328
1000	22138	66328
1001	22168	66329
1002	22194	66317
1003	22223	66315
1004	22247	66299
1005	22266	66269
1006	22285	66237
1007	22303	66201
1008	22319	66163
1009	22335	66120
1010	22352	66084
1011	22371	66052
1012	22387	66012
1013	22403	65973
1014	22420	65937
1015	22440	65908
1016	22457	65871
1017	22474	65833
1018	22491	65797
1019	22510	65765
1020	22526	65725
1021	22541	65684
1022	22558	65646
1023	22577	65616
1024	22596	65585
1025	22614	65550
1026	22631	65515
1027	22648	65479
1028	22666	65445
1029	22685	65414
1030	22702	65377
1031	22718	65338
1032	22736	65304
1033	22754	65270
1034	22771	65234
1035	22788	65196
1036	22805	65162
1037	22821	65123
1038	22838	65086
1039	22858	65057
1040	22880	65036
1041	22905	65024
1042	22929	65007
1043	22956	64999
1044	22986	64999
1045	23016	65000
1046	23045	64998
1047	23076	65001
1048	23110	65013
1049	23145	65028
1050	23178	65037
1051	23211	65044
1052	23244	65054
1053	23274	65054
1054	23298	65036
1055	23321	65017
1056	23343	64995
1057	23362	64964
1058	23379	64929
1059	23399	64899
1060	23417	64867
1061	23436	64835
1062	23455	64805
1063	23471	64768
1064	23490	64736
1065	23510	64708
1066	23527	64673
1067	23546	64643
1068	23561	64601
1069	23579	64569
1070	23598	64538
1071	23615	64501
1072	23633	64467
1073	23650	64433
1074	23669	64403
1075	23688	64372
1076	23707	64341
1077	23726	64312
1078	23742	64273
1079	23758	64236
1080	23776	64203
1081	23793	64167
1082	23811	64134
1083	23830	64104
1084	23848	64073
1085	23866	64038
1086	23889	64020
1087	23916	64012
1088	23946	64010
1089	23978	64015
1090	24007	64013
1091	24040	64020
1092	24068	64014
1093	24096	64008
1094	24127	64010
1095	24153	63998
1096	24179	63987
1097	24209	63985
1098	24235	63973
1099	24262	63965
1100	24289	63956
1101	24310	63930
1102	24330	63904
1103	24350	63875
1104	24371	63850
1105	24392	63826
1106	24411	63796
1107	24426	63755
1108	24442	63717
1109	24457	63676
1110	24476	63647
1111	24494	63616
1112	24510	63578
1113	24528	63544
1114	24546	63512
1115	24565	63482
1116	24584	63452
1117	24600	63416
1118	24615	63376
1119	24633	63342
1120	24650	63308
1121	24670	63280
1122	24686	63244
1123	24703	63210
1124	24721	63178
1125	24739	63144
1126	24754	63104
1127	24770	63068
1128	24788	63037
1129	24807	63007
1130	24825	62975
1131	24845	62946
1132	24862	62913
1133	24879	62878
1134	24897	62846
1135	24916	62816
1136	24942	62806
1137	24978	62819
1138	25019	62845
1139	25063	62878
1140	25114	62929
1141	25163	62974
1142	25215	63026
1143	25260	63061
1144	25308	63106
1145	25339	63106
1146	25362	63084
1147	25381	63056
1148	25402	63029
1149	25422	63002
1150	25440	62971
1151	25456	62933
1152	25475	62904
1153	25496	62880
1154	25514	62848
1155	25532	62814
1156	25549	62781
1157	25569	62753
1158	25589	62725
1159	25605	62689
1160	25623	62657
1161	25640	62623
1162	25659	62592
1163	25677	62561
1164	25696	62532
1165	25715	62502
1166	25732	62467
1167	25750	62435
1168	25767	62402
1169	25785	62370
1170	25804	62340
1171	25820	62303
1172	25836	62266
1173	25851	62228
1174	25869	62197
1175	25887	62165
1176	25903	62129
1177	25920	62093
1178	25942	62072
1179	25967	62057
1180	25997	62054
1181	26027	62051
1182	26058	62050
1183	26089	62049
1184	26121	62052
1185	26155	62059
1186	26186	62058
1187	26221	62066
1188	26255	62072
1189	26284	62066
1190	26316	62069
1191	26343	62056
1192	26365	62035
1193	26386	62011
1194	26406	61984
1195	26424	61952
1196	26443	61922
1197	26461	61890
1198	26479	61859
1199	26498	61829
1200	26517	61800
1201	26535	61768
1202	26554	61739
1203	26573	61710
1204	26590	61675
1205	26607	61643
1206	26625	61612
1207	26644	61581
1208	26663	61553
1209	26685	61531
1210	26707	61509
1211	26725	61478
1212	26746	61452
1213	26765	61423
1214	26780	61386
1215	26800	61359
1216	26817	61326
1217	26836	61296
1218	26856	61269
1219	26874	61238
1220	26892	61206
1221	26911	61177
1222	26931	61151
1223	26951	61125
1224	26979	61117
1225	27013	61122
1226	27055	61145
1227	27097	61167
1228	27140	61193
1229	27178	61207
1230	27220	61229
1231	27257	61240
1232	27299	61263
1233	27342	61289
1234	27375	61289
1235	27400	61273
1236	27420	61248
1237	27439	61218
1238	27456	61184
1239	27474	61152
1240	27492	61121
1241	27512	61095
1242	27533	61069
1243	27551	61039
1244	27568	61005
1245	27588	60978
1246	27606	60947
1247	27624	60916
1248	27643	60887
1249	27662	60858
1250	27680	60827
1251	27696	60790
1252	27714	60760
1253	27732	60728
1254	27748	60693
1255	27764	60657
1256	27779	60619
1257	27797	60589
1258	27814	60555
1259	27834	60528
1260	27852	60498
1261	27871	60468
1262	27889	60438
1263	27905	60403
1264	27922	60370
1265	27939	60337
1266	27957	60305
1267	27977	60279
1268	27999	60256
1269	28018	60227
1270	28037	60201
1271	28058	60175
1272	28081	60155
1273	28102	60132
1274	28122	60105
1275	28143	60081
1276	28167	60061
1277	28189	60040
1278	28211	60018
1279	28236	60002
1280	28260	59984
1281	28285	59967
1282	28306	59944
1283	28327	59920
1284	28348	59895
1285	28369	59871
1286	28389	59844
1287	28411	59822
1288	28430	59795
1289	28453	59773
1290	28474	59749
1291	28497	59731
1292	28521	59711
1293	28540	59682
1294	28564	59666
1295	28588	59646
1296	28610	59626
1297	28632	59604
1298	28657	59586
1299	28677	59561
1300	28699	59538
1301	28720	59515
1302	28743	59495
1303	28763	59467
1304	28783	59442
1305	28804	59417
1306	28828	59400
1307	28850	59376
1308	28872	59354
1309	28892	59329
1310	28915	59309
1311	28938	59287
1312	28957	59260
1313	28977	59234
1314	28994	59202
1315	29012	59171
1316	29031	59144
1317	29049	59112
1318	29066	59080
1319	29085	59051
1320	29102	59020
1321	29121	58991
1322	29139	58960
1323	29157	58930
1324	29172	58896
1325	29191	58867
1326	29210	58839
1327	29228	58809
1328	29248	58782
1329	29265	58751
1330	29282	58719
1331	29299	58686
1332	29315	58653
1333	29332	58621
1334	29349	58588
1335	29365	58555
1336	29385	58528
1337	29407	58506
1338	29434	58494
1339	29461	58482
1340	29489	58472
1341	29520	58469
1342	29550	58462
1343	29579	58455
1344	29611	58452
1345	29648	58460
1346	29678	58453
1347	29710	58451
1348	29739	58442
1349	29772	58442
1350	29802	58435
1351	29826	58417
1352	29848	58394
1353	29868	58370
1354	29887	58341
1355	29907	58314
1356	29924	58282
1357	29944	58256
1358	29961	58225
1359	29978	58194
1360	29997	58165
1361	30014	58134
1362	30032	58103
1363	30048	58070
1364	30066	58040
1365	30082	58007
1366	30101	57978
1367	30117	57945
1368	30135	57916
1369	30152	57884
1370	30168	57851
1371	30185	57817
1372	30202	57787
1373	30220	57757
1374	30237	57725
1375	30254	57694
1376	30274	57668
1377	30293	57640
1378	30310	57610
1379	30328	57580
1380	30345	57548
1381	30362	57516
1382	30378	57484
1383	30395	57452
1384	30413	57422
1385	30436	57403
1386	30466	57396
1387	30504	57404
1388	30541	57411
1389	30588	57435
1390	30631	57452
1391	30677	57475
1392	30719	57490
1393	30760	57505
1394	30797	57510
1395	30837	57522
1396	30864	57510
1397	30886	57487
1398	30906	57461
1399	30925	57432
1400	30944	57404
1401	30962	57376
1402	30984	57352
1403	31000	57319
1404	31017	57288
1405	31035	57258
1406	31049	57222
1407	31066	57190
1408	31083	57160
1409	31100	57128
1410	31119	57100
1411	31137	57070
1412	31152	57036
1413	31171	57007
1414	31188	56976
1415	31205	56945
1416	31223	56916
1417	31240	56885
1418	31259	56857
1419	31276	56826
1420	31295	56799
1421	31313	56768
1422	31331	56740
1423	31347	56707
1424	31363	56674
1425	31377	56637
1426	31395	56609
1427	31413	56579
1428	31431	56550
1429	31452	56526
1430	31470	56496
1431	31490	56472
1432	31510	56445
1433	31529	56418
1434	31549	56393
1435	31570	56369
1436	31596	56355
1437	31619	56334
1438	31640	56310
1439	31662	56288
1440	31689	56276
1441	31714	56258
1442	31738	56240
1443	31763	56224
1444	31790	56210
1445	31812	56189
1446	31837	56171
1447	31859	56149
1448	31884	56133
1449	31905	56109
1450	31930	56093
1451	31951	56069
1452	31976	56052
1453	31998	56030
1454	32021	56010
1455	32043	55987
1456	32061	55959
1457	32081	55932
1458	32100	55906
1459	32118	55878
1460	32135	55846
1461	32152	55815
1462	32170	55786
1463	32187	55756
1464	32206	55728
1465	32224	55701
1466	32242	55670
1467	32259	55641
1468	32278	55613
1469	32295	55582
1470	32313	55555
1471	32333	55530
1472	32350	55499
1473	32367	55468
1474	32383	55435
1475	32399	55404
1476	32418	55377
1477	32434	55345
1478	32453	55318
1479	32474	55293
1480	32497	55273
1481	32530	55270
1482	32569	55277
1483	32614	55295
1484	32652	55300
1485	32695	55314
1486	32736	55324
1487	32776	55332
1488	32809	55328
1489	32851	55339
1490	32883	55335
1491	32908	55317
1492	32932	55298
1493	32952	55273
1494	32968	55240
1495	32986	55212
1496	33005	55186
